t_ns,x,y,z,deviation_m
1780651940675690865,0.3948973564245701,0.06822104269902343,0.3277347515032261,0.0021957513152037894
1780651940685688054,0.3951704333587993,0.06822109639147757,0.3277343691780301,0.0019226853959052378
1780651940695792997,0.39541019757254786,0.06822119947024746,0.32773351273865003,0.0016829274441536829
1780651940706413443,0.39561970826889736,0.06822133548156008,0.32773234639661497,0.0014734187483527253
1780651940716678482,0.39580230711852094,0.0682216341785439,0.3276488780284669,0.0012906950497355392
1780651940726837798,0.3959622672674733,0.06822187574177721,0.32758489792610773,0.0011307347279005077
1780651940737161941,0.3961021288098328,0.06822218848012049,0.32744561750344464,0.0009908728460844842
1780651940747289773,0.39622468939493444,0.06822242802166295,0.32733292253113294,0.0008683120280090391
1780651940757338605,0.3963322016498992,0.06822269047193674,0.32715111462490293,0.0007607994771159025
1780651940767070363,0.3964263621094859,0.06822288511146005,0.3270011689206668,0.0006666388227860082
1780651940777808235,0.39650923936386523,0.06822307954870319,0.3267868182167074,0.0005837613618003778
1780651940788062521,0.3965817202090319,0.06822321972028045,0.3266083435190703,0.0005112803863721204
1780651940798274173,0.3966457487353283,0.0682233498555066,0.32636904885732815,0.000447251737211
1780651940808446420,0.39670161231699,0.06822344081325248,0.326168693986461,0.0003913880824727722
1780651940818501094,0.39675116674268274,0.06822351860028857,0.3259102559199521,0.00034183359629181317
1780651940828803370,0.39679425327735157,0.06822357080923715,0.3256931021329121,0.0002987470309440282
1780651940839387271,0.39683266185964916,0.0682236098058421,0.32541995831192694,0.0002603384327616661
1780651940849402782,0.39686590068544175,0.06822363423688074,0.32518989641502394,0.00022709960910462465
1780651940858974653,0.3968957081923842,0.0682236466842609,0.32490544765838414,0.00019729212397944255
1780651940869746199,0.3969213435494763,0.06822365284270612,0.32466546137691726,0.00017165680156807094
1780651940879749739,0.39694450319630753,0.06822364863364928,0.3243723173480837,0.00014849721938536302
1780651940889925470,0.3969642602156774,0.0682236439557169,0.32412469740968475,0.00012874027666181237
1780651940900235163,0.39698227560467214,0.06822363053181685,0.32382486266943517,0.00011072501175187341
1780651940910225680,0.396997483766213,0.06822362043029659,0.3235713692761926,9.551698796551017e-05
1780651940920279457,0.3970115149750615,0.0682236030778222,0.3232663847473659,8.148599165771526e-05
1780651940930637945,0.39702320081697146,0.0682235912493933,0.3230083713174291,6.980037985933229e-05
1780651940940783530,0.3970341443848775,0.06822357352184513,0.32269942218678654,5.8857160270112946e-05
1780651940950931619,0.39704430135466173,0.06822355292460534,0.3223563314536177,4.870069747127132e-05
1780651940961533883,0.39705243556457975,0.06822354047330759,0.32206368174200994,4.0567038168225856e-05
1780651940971310764,0.397060271007444,0.06822352508995769,0.32172450339609415,3.273243793664972e-05
1780651940981480790,0.397066376036758,0.06822351685660899,0.32143647343404513,2.662834666754763e-05
1780651940991873671,0.3970724269217227,0.06822350665263091,0.3211012052902964,2.0578992721471926e-05
1780651941002312976,0.3970769843857891,0.06822350225724322,0.3208166243022016,1.6023346916416305e-05
1780651941012468641,0.39708167181188037,0.06822349691379673,0.3204843735094315,1.133935367651793e-05
1780651941022429507,0.39708504840409514,0.06822349587418973,0.3202024431505214,7.9675604965586e-06
1780651941033008489,0.3970886940499059,0.06822349493360956,0.3198725117272175,4.335469786725584e-06
1780651941042954724,0.39709116978035525,0.06822349671002265,0.3195926195908613,1.8981582519003047e-06
1780651941052862280,0.3970940193349941,0.06822349967301422,0.31926447083437803,1.1355046996702074e-06
